store_id,uniq_id,inventory
836,c18d1d1617863f8c742e819e45440943,9
1069,c18d1d1617863f8c742e819e45440943,9
1325,c18d1d1617863f8c742e819e45440943,5
1583,c18d1d1617863f8c742e819e45440943,10
1498,c18d1d1617863f8c742e819e45440943,3
1499,c18d1d1617863f8c742e819e45440943,6
1518,c18d1d1617863f8c742e819e45440943,4
1771,c18d1d1617863f8c742e819e45440943,6
2185,c18d1d1617863f8c742e819e45440943,6
2338,c18d1d1617863f8c742e819e45440943,3
2437,c18d1d1617863f8c742e819e45440943,10
2689,c18d1d1617863f8c742e819e45440943,7
3039,c18d1d1617863f8c742e819e45440943,0
3040,c18d1d1617863f8c742e819e45440943,8
3042,c18d1d1617863f8c742e819e45440943,3
3051,c18d1d1617863f8c742e819e45440943,7
3128,c18d1d1617863f8c742e819e45440943,8
3278,c18d1d1617863f8c742e819e45440943,3
3351,c18d1d1617863f8c742e819e45440943,8
3597,c18d1d1617863f8c742e819e45440943,10
3720,c18d1d1617863f8c742e819e45440943,0
3867,c18d1d1617863f8c742e819e45440943,7
4023,c18d1d1617863f8c742e819e45440943,0
4024,c18d1d1617863f8c742e819e45440943,2
4033,c18d1d1617863f8c742e819e45440943,0
4163,c18d1d1617863f8c742e819e45440943,7
836,e35840f193b8d1aa6689c534821c2c09,4
1069,e35840f193b8d1aa6689c534821c2c09,2
1325,e35840f193b8d1aa6689c534821c2c09,1
1583,e35840f193b8d1aa6689c534821c2c09,10
1498,e35840f193b8d1aa6689c534821c2c09,5
1499,e35840f193b8d1aa6689c534821c2c09,8
1518,e35840f193b8d1aa6689c534821c2c09,9
1771,e35840f193b8d1aa6689c534821c2c09,9
2185,e35840f193b8d1aa6689c534821c2c09,1
2338,e35840f193b8d1aa6689c534821c2c09,3
2437,e35840f193b8d1aa6689c534821c2c09,0
2689,e35840f193b8d1aa6689c534821c2c09,9
3039,e35840f193b8d1aa6689c534821c2c09,9
3040,e35840f193b8d1aa6689c534821c2c09,0
